team,player_id,player_name,position,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,PositionEncoded
TEN,00-0035676,A.J. Brown,WR,2019,2.0,84.0,52.0,1051.0,1107.0,465.0,8.0,0.0,1
TEN,00-0035676,A.J. Brown,WR,2020,1.0,106.0,70.0,1075.0,1150.0,432.0,12.0,1.0,1
TEN,00-0035676,A.J. Brown,WR,2021,1.0,105.0,63.0,869.0,1218.0,235.0,5.0,0.0,1
PHI,00-0035676,A.J. Brown,WR,2022,1.0,145.0,88.0,1496.0,1750.0,552.0,12.0,2.0,1
PHI,00-0035676,A.J. Brown,WR,2023,1.0,158.0,106.0,1456.0,1853.0,473.0,8.0,2.0,1
GB,00-0036265,A.J. Dillon,RB,2020,3.0,2.0,2.0,21.0,5.0,16.0,0.0,0.0,0
GB,00-0036265,A.J. Dillon,RB,2021,2.0,37.0,34.0,313.0,14.0,310.0,2.0,0.0,0
GB,00-0036265,A.J. Dillon,RB,2022,2.0,43.0,28.0,206.0,17.0,203.0,0.0,0.0,0
GB,00-0036265,A.J. Dillon,RB,2023,2.0,28.0,22.0,223.0,1.0,231.0,0.0,0.0,0
CIN,00-0027942,A.J. Green,WR,2012,1.0,164.0,97.0,1350.0,2235.0,381.0,12.0,1.0,1
CIN,00-0027942,A.J. Green,WR,2013,1.0,178.0,98.0,1426.0,2256.0,393.0,12.0,0.0,1
CIN,00-0027942,A.J. Green,WR,2014,1.0,116.0,69.0,1041.0,1548.0,314.0,8.0,2.0,1
CIN,00-0027942,A.J. Green,WR,2015,1.0,132.0,86.0,1297.0,1686.0,341.0,10.0,1.0,1
CIN,00-0027942,A.J. Green,WR,2016,1.0,100.0,66.0,964.0,1236.0,258.0,4.0,0.0,1
CIN,00-0027942,A.J. Green,WR,2017,1.0,143.0,75.0,1086.0,1873.0,297.0,8.0,2.0,1
CIN,00-0027942,A.J. Green,WR,2018,1.0,78.0,46.0,694.0,958.0,163.0,7.0,1.0,1
CIN,00-0027942,A.J. Green,WR,2020,1.0,104.0,47.0,523.0,1427.0,86.0,2.0,0.0,1
ARI,00-0027942,A.J. Green,WR,2021,1.0,93.0,54.0,848.0,1109.0,181.0,3.0,0.0,1
ARI,00-0027942,A.J. Green,WR,2022,1.0,49.0,24.0,238.0,515.0,56.0,2.0,0.0,1
SF,00-0029654,A.J. Jenkins,WR,2012,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1
KC,00-0029654,A.J. Jenkins,WR,2013,2.0,17.0,8.0,130.0,200.0,44.0,0.0,0.0,1
KC,00-0029654,A.J. Jenkins,WR,2014,2.0,15.0,9.0,93.0,131.0,43.0,0.0,0.0,1
NO,00-0038612,A.T. Perry,WR,2023,2.0,18.0,12.0,246.0,293.0,20.0,4.0,0.0,1
SF,00-0032441,Aaron Burbridge,WR,2016,2.0,16.0,7.0,88.0,139.0,43.0,0.0,0.0,1
